danceability,speechiness
0.406,0.0624
0.279,0.0694
0.543,0.0302
0.439,0.0338
0.274,0.0291
0.145,0.0525
0.288,0.151
0.218,0.318
0.196,0.217
0.271,0.0617
0.265,0.315
0.391,0.0561
0.573,0.0546
0.284,0.0805
0.433,0.113
0.247,0.244
0.323,0.0982
0.251,0.427
0.259,0.27
0.414,0.0507
0.295,0.384
0.266,0.292
0.296,0.411
0.212,0.15
0.297,0.0555
0.33,0.186
0.164,0.135
0.249,0.259
0.264,0.0588
0.595,0.123
0.332,0.0491
0.574,0.031
0.463,0.0683
0.427,0.0681
0.521,0.197
0.31,0.288
0.517,0.0306
0.607,0.0346
0.832,0.296
0.518,0.028
0.559,0.17
0.354,0.0656
0.429,0.0574
0.461,0.0371
0.503,0.162
0.229,0.171
0.73,0.0537
0.392,0.0515
0.928,0.161
0.537,0.0493
0.421,0.0482
0.386,0.0953
0.513,0.0437
0.567,0.128
0.506,0.0264
0.601,0.0453
0.478,0.0559
0.484,0.0531
0.535,0.0309
0.239,0.036
0.474,0.115
0.339,0.0986
0.7,0.0849
0.482,0.0293
0.352,0.034
0.5,0.0558
0.381,0.0294
0.31,0.0859
0.24,0.0887
0.472,0.0532
0.294,0.0898
0.34,0.173
0.321,0.0784
0.355,0.0737
0.358,0.0641
0.355,0.078
0.413,0.158
0.424,0.0354
0.357,0.0375
0.48,0.0512
0.456,0.106
0.466,0.11
0.309,0.0345
0.627,0.173
0.396,0.158
0.455,0.0483
0.293,0.101
0.465,0.0301
0.26,0.128
0.21,0.113
0.282,0.0396
0.186,0.0818
0.153,0.0899
0.28,0.152
0.381,0.161
0.534,0.297
0.171,0.0536
0.429,0.119
0.306,0.0912
0.259,0.168
0.225,0.119
0.252,0.0798
0.241,0.0387
0.271,0.16
0.312,0.351
0.238,0.106
0.293,0.106
0.206,0.156
0.215,0.232
0.246,0.15
0.274,0.181
0.405,0.087
0.517,0.0959
0.316,0.0589
0.258,0.0552
0.138,0.0977
0.744,0.0359
0.506,0.0626
0.42,0.0291
0.537,0.0335
0.623,0.0786
0.875,0.0376
