danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.484,0.775,4,-6.735,1,0.0531,0.0273,0.00224,0.0934,0.48,132.553,audio_features,0R85qra6PWJbCUEVV2q6Te,spotify:track:0R85qra6PWJbCUEVV2q6Te,https://api.spotify.com/v1/tracks/0R85qra6PWJbCUEVV2q6Te,https://api.spotify.com/v1/audio-analysis/0R85qra6PWJbCUEVV2q6Te,253373,4
0.381,0.269,5,-10.571,0,0.0294,0.842,0.000032,0.134,0.128,96.343,audio_features,0sUJPk1rEmIBvCa0kkD7NW,spotify:track:0sUJPk1rEmIBvCa0kkD7NW,https://api.spotify.com/v1/tracks/0sUJPk1rEmIBvCa0kkD7NW,https://api.spotify.com/v1/audio-analysis/0sUJPk1rEmIBvCa0kkD7NW,192773,1
0.417,0.31,5,-11.083,1,0.0332,0.938,0.000033,0.1,0.546,123.421,audio_features,0TlQQdMKuK1WJJs3EEL1ll,spotify:track:0TlQQdMKuK1WJJs3EEL1ll,https://api.spotify.com/v1/tracks/0TlQQdMKuK1WJJs3EEL1ll,https://api.spotify.com/v1/audio-analysis/0TlQQdMKuK1WJJs3EEL1ll,87893,4
0.615,0.807,5,-6.808,1,0.0593,0.574,5.73E-06,0.181,0.326,115.606,audio_features,0VUYQwpqycHxkeQeGSkH0u,spotify:track:0VUYQwpqycHxkeQeGSkH0u,https://api.spotify.com/v1/tracks/0VUYQwpqycHxkeQeGSkH0u,https://api.spotify.com/v1/audio-analysis/0VUYQwpqycHxkeQeGSkH0u,248693,4
0.347,0.948,0,-8.59,1,0.225,0.126,0.00131,0.753,0.205,136.999,audio_features,0XDn6Wqf5a5iCeNSebFFNE,spotify:track:0XDn6Wqf5a5iCeNSebFFNE,https://api.spotify.com/v1/tracks/0XDn6Wqf5a5iCeNSebFFNE,https://api.spotify.com/v1/audio-analysis/0XDn6Wqf5a5iCeNSebFFNE,272680,4
0.197,0.376,2,-9.799,0,0.034,0.935,0.369,0.348,0.0526,94.759,audio_features,11K7FYwRmIwBIcxlhSXYhS,spotify:track:11K7FYwRmIwBIcxlhSXYhS,https://api.spotify.com/v1/tracks/11K7FYwRmIwBIcxlhSXYhS,https://api.spotify.com/v1/audio-analysis/11K7FYwRmIwBIcxlhSXYhS,216716,4
0.706,0.803,0,-6.937,1,0.0433,0.158,0.0113,0.31,0.585,120.008,audio_features,122atx0V2MwoXCkpQDu6o5,spotify:track:122atx0V2MwoXCkpQDu6o5,https://api.spotify.com/v1/tracks/122atx0V2MwoXCkpQDu6o5,https://api.spotify.com/v1/audio-analysis/122atx0V2MwoXCkpQDu6o5,237853,4
0.441,0.897,0,-8.628,1,0.0909,0.248,0.0113,0.121,0.696,159.15,audio_features,12LhScrlYazmU4vsqpRQNI,spotify:track:12LhScrlYazmU4vsqpRQNI,https://api.spotify.com/v1/tracks/12LhScrlYazmU4vsqpRQNI,https://api.spotify.com/v1/audio-analysis/12LhScrlYazmU4vsqpRQNI,160987,4
0.386,0.673,10,-6.482,0,0.0953,0.0641,0,0.0835,0.606,168.358,audio_features,12MAtZbCFxjoFPfxnjL7L8,spotify:track:12MAtZbCFxjoFPfxnjL7L8,https://api.spotify.com/v1/tracks/12MAtZbCFxjoFPfxnjL7L8,https://api.spotify.com/v1/audio-analysis/12MAtZbCFxjoFPfxnjL7L8,180813,4
0.706,0.803,0,-6.937,1,0.0433,0.158,0.0113,0.31,0.585,120.008,audio_features,14zuvr5vGgHCcGY6dc0gZQ,spotify:track:14zuvr5vGgHCcGY6dc0gZQ,https://api.spotify.com/v1/tracks/14zuvr5vGgHCcGY6dc0gZQ,https://api.spotify.com/v1/audio-analysis/14zuvr5vGgHCcGY6dc0gZQ,237853,4
