Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HTFGM,ATFGM,FGM
E0,29/08/09,Chelsea,Burnley,3,0,H,1,0,H,M Clattenburg,27,3,17,0,7,5,10,1,0,1,0,0,45,0,45
E0,29/08/09,Man United,Arsenal,2,1,H,0,1,A,M Dean,10,9,4,3,21,15,6,5,3,6,0,0,59,40,40
E0,29/08/09,Stoke,Sunderland,1,0,H,1,0,H,M Jones,13,9,7,6,9,8,10,10,0,2,0,0,43,0,43
E0,29/08/09,Tottenham,Birmingham,2,1,H,0,0,D,P Walton,20,11,14,6,12,10,7,3,2,2,0,0,72,75,72
E0,29/08/09,Wolves,Hull,1,1,D,0,1,A,S Attwell,24,5,17,4,11,15,8,2,0,2,0,0,46,3,3
E0,30/08/09,Aston Villa,Fulham,2,0,H,1,0,H,S Bennett,9,6,4,3,9,9,9,4,1,2,0,0,3,0,3
E0,30/08/09,Everton,Wigan,2,1,H,0,0,D,L Probert,26,12,14,7,11,24,12,5,1,5,0,0,62,57,57
E0,30/08/09,Portsmouth,Man City,0,1,A,0,1,A,H Webb,11,12,6,8,12,7,3,11,2,1,0,0,0,30,30
E0,09/12/2009,Blackburn,Wolves,3,1,H,1,0,H,S Bennett,13,9,10,5,13,16,10,6,1,2,0,0,49,88,49
E0,09/12/2009,Liverpool,Burnley,4,0,H,2,0,H,L Mason,27,6,16,3,8,10,7,5,0,2,0,0,27,0,27
E0,09/12/2009,Man City,Arsenal,4,2,H,1,0,H,M Clattenburg,10,19,6,9,13,12,3,12,3,2,0,0,20,63,20
E0,09/12/2009,Portsmouth,Bolton,2,3,A,1,2,A,C Foy,21,14,11,6,17,17,7,5,2,0,0,0,52,13,13
E0,09/12/2009,Stoke,Chelsea,1,2,A,1,1,D,M Dean,4,18,2,10,13,11,4,14,3,3,0,0,32,45,32
E0,09/12/2009,Sunderland,Hull,4,1,H,1,1,D,M Atkinson,7,6,4,5,18,15,7,8,2,2,0,0,13,44,13
E0,09/12/2009,Tottenham,Man United,1,3,A,1,2,A,A Marriner,11,17,7,13,16,13,3,9,3,2,0,1,1,25,1
E0,09/12/2009,Wigan,West Ham,1,0,H,0,0,D,A Wiley,12,12,6,5,13,11,6,7,2,1,0,0,56,0,56
E0,13/09/09,Birmingham,Aston Villa,0,1,A,0,0,D,H Webb,11,12,7,5,10,20,7,1,1,2,0,0,0,85,85
E0,13/09/09,Fulham,Everton,2,1,H,0,1,A,P Walton,14,6,8,6,6,10,5,3,1,0,0,0,57,33,33
E0,19/09/09,Arsenal,Wigan,4,0,H,1,0,H,M Jones,23,8,11,5,6,18,6,4,2,2,0,0,24,0,24
E0,19/09/09,Aston Villa,Portsmouth,2,0,H,2,0,H,S Attwell,7,17,5,12,17,12,7,5,2,0,0,0,34,0,34
E0,19/09/09,Bolton,Stoke,1,1,D,0,0,D,M Clattenburg,11,10,5,6,6,11,4,6,2,2,0,0,89,53,53
E0,19/09/09,Burnley,Sunderland,3,1,H,1,1,D,C Foy,10,8,3,5,4,15,4,4,0,3,0,0,13,39,13
E0,19/09/09,Hull,Birmingham,0,1,A,0,0,D,P Dowd,16,14,11,9,15,13,10,8,0,2,0,0,0,75,75
E0,19/09/09,West Ham,Liverpool,2,3,A,2,2,D,A Marriner,8,19,5,15,13,17,4,4,3,3,0,0,29,20,20
E0,20/09/09,Chelsea,Tottenham,3,0,H,1,0,H,H Webb,25,9,15,4,7,9,11,3,0,2,0,0,32,0,32
E0,20/09/09,Everton,Blackburn,3,0,H,1,0,H,L Mason,18,7,11,4,15,18,6,2,1,2,0,0,22,0,22
E0,20/09/09,Man United,Man City,4,3,H,1,1,D,M Atkinson,21,10,11,6,15,14,11,1,2,2,0,0,2,16,2
E0,20/09/09,Wolves,Fulham,2,1,H,1,0,H,K Friend,12,3,4,1,14,11,3,3,1,1,0,0,18,66,18
E0,26/09/09,Birmingham,Bolton,1,2,A,0,1,A,S Bennett,12,10,6,4,9,17,8,4,2,1,0,0,84,10,10
E0,26/09/09,Blackburn,Aston Villa,2,1,H,1,1,D,M Clattenburg,15,10,7,5,14,11,6,5,2,3,1,0,24,3,3
E0,26/09/09,Fulham,Arsenal,0,1,A,0,0,D,M Atkinson,18,14,12,4,14,11,4,6,4,0,0,0,0,52,52
E0,26/09/09,Liverpool,Hull,6,1,H,2,1,H,P Walton,22,7,14,3,10,3,13,2,1,4,0,0,12,15,12
E0,26/09/09,Portsmouth,Everton,0,1,A,0,1,A,A Wiley,16,12,12,8,14,17,5,6,0,3,0,0,0,42,42
E0,26/09/09,Stoke,Man United,0,2,A,0,0,D,H Webb,2,13,1,7,9,8,2,7,1,1,0,0,0,62,62
E0,26/09/09,Tottenham,Burnley,5,0,H,2,0,H,M Dean,18,10,12,7,10,14,2,7,1,1,0,0,18,0,18
E0,26/09/09,Wigan,Chelsea,3,1,H,1,0,H,P Dowd,15,14,9,8,11,11,4,7,1,2,0,1,16,47,16
E0,27/09/09,Sunderland,Wolves,5,2,H,1,0,H,L Mason,10,15,8,11,18,11,7,8,1,3,0,0,9,50,9
E0,28/09/09,Man City,West Ham,3,1,H,2,1,H,C Foy,20,12,12,8,18,14,11,5,1,1,0,0,5,24,5
E0,10/03/2009,Bolton,Tottenham,2,2,D,1,1,D,M Jones,12,17,9,9,15,16,5,6,2,1,0,0,4,34,4
E0,10/03/2009,Burnley,Birmingham,2,1,H,0,0,D,K Friend,15,10,13,6,17,11,8,4,0,3,0,0,53,90,53
E0,10/03/2009,Hull,Wigan,2,1,H,0,0,D,M Clattenburg,11,13,6,5,14,8,4,2,0,2,0,0,59,86,59
E0,10/03/2009,Man United,Sunderland,2,2,D,0,1,A,A Wiley,17,4,9,3,11,15,14,1,2,3,0,1,51,7,7
E0,10/03/2009,Wolves,Portsmouth,0,1,A,0,1,A,H Webb,11,12,5,8,8,12,8,6,1,2,0,0,0,19,19
E0,10/04/2009,Arsenal,Blackburn,6,2,H,3,2,H,P Walton,24,7,18,7,9,10,8,1,1,1,0,0,17,4,4
